,T0,T1,T2,A_1
T0,-0.67,-1.21,0.01,0.02
T1,-0.65,-2.06,0.8,-0.63
T2,0.06,1.22,-2.0,-0.22
A_1,0.0,-0.09,-0.48,-2.01
