,T0,T1,T2,D_0
T0,-0.67,-1.24,-0.26,0.29
T1,-0.78,-2.18,0.84,0.77
T2,0.27,1.22,-2.04,-0.62
D_0,-0.21,0.11,0.42,-2.15
