,T0,T1,T2,B_2
T0,-0.69,-1.02,-0.17,0.17
T1,-0.73,-2.0,-0.0,0.07
T2,0.19,1.62,-2.11,-0.27
B_2,0.0,-0.03,0.24,-1.54
