,T0,T1,T2,C_1
T0,-0.73,-0.06,-0.09,0.02
T1,0.13,-1.97,0.0,-0.0
T2,0.51,0.0,-2.08,-0.26
C_1,-0.99,0.24,0.07,-1.83
