,T0,T1,T2,B_1
T0,-0.88,-0.42,-0.28,0.18
T1,-0.76,-1.94,0.77,0.0
T2,0.32,0.02,-1.97,-0.42
B_1,-0.31,0.27,0.2,-0.02
