,T0,T1,T2,D_0
T0,-0.82,-0.36,-0.58,0.19
T1,-0.92,-2.05,0.3,0.97
T2,0.4,0.35,-2.2,-0.11
D_0,-0.0,0.0,0.16,-1.48
