,T0,T1,T2,C_1
T0,-0.81,-0.43,-0.21,-0.0
T1,-0.68,-1.96,0.68,0.19
T2,0.19,0.0,-2.1,-0.04
C_1,-0.94,0.01,0.08,-1.72
