,T0,T1,T2,A_0
T0,-0.86,-0.37,-0.0,0.17
T1,-0.18,-1.96,0.0,0.0
T2,-0.0,0.0,-2.14,-0.23
A_0,0.01,0.0,-0.07,-2.36
