,T0,T1,T2,B_1
T0,-0.81,-0.53,-0.0,-0.08
T1,-0.03,-1.99,0.0,0.0
T2,-0.0,0.0,-2.15,-0.0
B_1,-0.01,0.0,-0.0,-0.11
