,T0,T1,T2,B_0
T0,-0.74,-0.75,0.13,0.15
T1,-0.0,-2.08,0.0,-0.0
T2,0.0,0.33,-2.16,-0.01
B_0,-0.0,0.26,-0.11,-1.74
