,T0,T1,T2,D_0
T0,-0.81,-0.96,0.11,0.53
T1,0.0,-2.08,0.0,-0.0
T2,0.0,0.36,-2.14,-0.11
D_0,-0.08,1.1,-0.16,-1.34
