,T0,T1,T2,E_0
T0,-0.87,-1.03,-0.16,-0.0
T1,-0.22,-2.05,0.0,-0.57
T2,0.0,0.0,-2.2,0.0
E_0,-0.36,-0.0,0.21,-2.7
