,T0,T1,T2,B_1
T0,-0.84,-0.56,-0.0,-0.14
T1,-0.56,-2.02,0.15,0.0
T2,-0.0,0.0,-1.99,-0.49
B_1,0.0,0.32,-0.02,-0.01
