,T0,T1,T2,A_0
T0,-0.89,-0.67,-0.03,-0.01
T1,-0.49,-2.01,0.02,-0.13
T2,-0.09,0.01,-2.15,-0.48
A_0,-0.2,-0.09,-0.56,-2.27
