,T0,T1,T2,D_0
T0,-0.89,-0.54,-0.18,-0.0
T1,-0.6,-2.0,0.0,0.0
T2,-0.0,0.0,-2.22,0.09
D_0,0.23,0.72,0.0,-1.07
