,T0,T1,T2,D_0
T0,-0.84,-0.03,0.17,0.19
T1,-1.82,-1.56,0.0,-0.0
T2,0.0,0.7,-2.03,-0.0
D_0,0.01,1.49,-0.37,-1.45
