,T0,T1,T2,A_1
T0,-0.76,-0.43,0.0,-0.01
T1,-0.79,-1.67,0.0,-0.01
T2,0.31,0.68,-2.05,-0.89
A_1,-0.13,-0.19,-0.66,-2.08
