,ATRX (M),SETD2 (M),BCL2/18q (Del),RB1 (M)
ATRX (M),-3.41,-0.23,-0.37,-0.0
SETD2 (M),-0.22,-2.96,-0.41,-1.53
BCL2/18q (Del),-0.24,-0.22,-1.06,-0.37
RB1 (M),-0.0,-1.51,-0.53,-3.04
