,ATRX (M),SETD2 (M),BCL2/18q (Del),EGFR/7p (Amp)
ATRX (M),-3.29,-0.36,-0.45,-0.41
SETD2 (M),-0.09,-2.83,-0.75,-0.49
BCL2/18q (Del),-0.09,-0.0,-0.96,-0.61
EGFR/7p (Amp),-0.65,-1.56,-0.0,-0.8
