,ATRX (M),SETD2 (M),BCL2/18q (Del),TERT/5p (Amp)
ATRX (M),-3.32,-0.24,-0.34,-0.3
SETD2 (M),-0.13,-2.75,-0.33,-1.06
BCL2/18q (Del),-0.2,-0.2,-0.97,-0.37
TERT/5p (Amp),-0.25,-0.86,-0.5,-0.49
