,ATRX (M),SETD2 (M),BCL2/18q (Del),MYC/8q (Amp)
ATRX (M),-3.26,-0.21,-0.57,-0.46
SETD2 (M),-0.1,-2.77,-0.56,-0.99
BCL2/18q (Del),-0.0,-0.04,-0.99,-0.4
MYC/8q (Amp),-0.02,-0.57,-0.63,-0.68
