,ATRX (M),SETD2 (M),BCL2/18q (Del),NF1 (M)
ATRX (M),-3.42,-0.24,-0.33,-0.0
SETD2 (M),-0.22,-2.97,-0.4,-0.52
BCL2/18q (Del),-0.26,-0.23,-1.04,-0.72
NF1 (M),-0.0,-0.4,-0.82,-2.62
