,ATRX (M),SETD2 (M),BCL2/18q (Del),ATM (M)
ATRX (M),-3.49,-0.23,-0.01,0.0
SETD2 (M),-0.25,-2.96,-0.47,-0.43
BCL2/18q (Del),-0.72,-0.16,-1.06,-0.25
ATM (M),0.66,-0.44,-1.02,-2.64
