,ATRX (M),SETD2 (M),BCL2/18q (Del),TP53 (M)
ATRX (M),-3.24,-0.25,-0.44,-0.42
SETD2 (M),-0.08,-2.61,-0.61,-1.28
BCL2/18q (Del),-0.1,-0.01,-0.96,-0.36
TP53 (M),-0.31,-0.9,-0.84,-0.15
