,ATRX (M),SETD2 (M),BCL2/18q (Del),SMARCA4 (M)
ATRX (M),-3.41,-0.23,-0.39,-0.0
SETD2 (M),-0.23,-2.99,-0.32,-0.3
BCL2/18q (Del),-0.2,-0.28,-1.05,-0.54
SMARCA4 (M),-0.0,-0.19,-0.67,-2.52
