,ATRX (M),SETD2 (M),BCL2/18q (Del),ARID2 (M)
ATRX (M),-3.42,-0.23,-0.34,0.0
SETD2 (M),-0.25,-3.0,-0.37,-0.13
BCL2/18q (Del),-0.27,-0.24,-1.06,-0.68
ARID2 (M),0.0,-0.03,-0.73,-3.32
