,ATRX (M),SETD2 (M),BCL2/18q (Del),APC (M)
ATRX (M),-3.42,-0.23,-0.34,-0.0
SETD2 (M),-0.24,-2.98,-0.45,-0.26
BCL2/18q (Del),-0.28,-0.18,-1.07,-0.27
APC (M),-0.0,-0.25,-0.43,-3.37
