,ATRX (M),SETD2 (M),BCL2/18q (Del),null
ATRX (M),-3.41,-0.25,-0.37,0.0
SETD2 (M),-0.24,-3.0,-0.36,0.0
BCL2/18q (Del),-0.26,-0.27,-1.07,0.0
null,0.0,0.0,0.0,0.0
