,ATRX (M),SETD2 (M),BCL2/18q (Del),PIK3CA (M)
ATRX (M),-3.41,-0.25,-0.36,-0.0
SETD2 (M),-0.25,-3.0,-0.36,-0.0
BCL2/18q (Del),-0.25,-0.26,-1.06,-0.24
PIK3CA (M),-0.0,-0.0,-0.2,-2.84
