,ATRX (M),SETD2 (M),BCL2/18q (Del),CDKN2A/9p (Del)
ATRX (M),-3.25,-0.24,-0.37,-0.64
SETD2 (M),-0.19,-2.8,-0.37,-0.93
BCL2/18q (Del),-0.12,-0.06,-1.16,0.27
CDKN2A/9p (Del),-0.44,-0.67,0.0,-0.7
