,ATRX (M),SETD2 (M),BCL2/18q (Del),KEAP1 (M)
ATRX (M),-3.4,-0.23,-0.41,0.0
SETD2 (M),-0.18,-2.94,-0.36,-0.79
BCL2/18q (Del),-0.15,-0.27,-1.01,-0.83
KEAP1 (M),0.0,-0.66,-0.96,-1.91
