,ATRX (M),SETD2 (M),BCL2/18q (Del),RB1/13q (Del)
ATRX (M),-3.39,-0.26,-0.06,-0.43
SETD2 (M),-0.19,-2.9,-0.11,-1.02
BCL2/18q (Del),-0.59,-0.26,-1.25,0.84
RB1/13q (Del),-0.0,-0.63,0.0,-1.19
