,ATRX (M),SETD2 (M),BCL2/18q (Del),KRAS (M)
ATRX (M),-3.58,-0.07,-0.22,0.36
SETD2 (M),-0.03,-2.63,-0.75,-1.49
BCL2/18q (Del),-0.01,-0.01,-0.78,-1.37
KRAS (M),0.03,-0.3,-0.97,-0.47
