,ATRX (M),SETD2 (M),BCL2/18q (Del),MCL1/1q (Amp)
ATRX (M),-3.28,-0.19,-0.49,-0.34
SETD2 (M),-0.14,-2.76,-0.05,-1.36
BCL2/18q (Del),-0.06,-0.56,-0.95,-0.4
MCL1/1q (Amp),-0.08,-0.62,-1.07,-0.41
