,MET (M),KRAS (M),BRAF (M),CDKN2A/9p (Del)
MET (M),-2.5,-1.93,-1.29,-0.98
KRAS (M),-2.08,-0.21,-2.28,-1.76
BRAF (M),-1.27,-1.48,-2.33,-1.09
CDKN2A/9p (Del),-1.01,-0.96,-1.3,-0.39
