,MET (M),KRAS (M),BRAF (M),ATM (M)
MET (M),-2.75,-1.87,-1.23,-0.06
KRAS (M),-2.03,-0.56,-1.65,0.0
BRAF (M),-1.25,-1.78,-2.55,-0.61
ATM (M),-0.34,0.78,-0.95,-3.08
