,MET (M),KRAS (M),BRAF (M),BCL2/18q (Del)
MET (M),-2.59,-1.96,-1.26,-0.77
KRAS (M),-1.98,-0.33,-1.93,-1.4
BRAF (M),-1.25,-1.64,-2.39,-1.01
BCL2/18q (Del),-0.88,-1.02,-1.08,-0.76
