,MET (M),KRAS (M),BRAF (M),KEAP1 (M)
MET (M),-2.69,-1.76,-1.22,-1.2
KRAS (M),-2.12,-0.53,-1.66,-0.44
BRAF (M),-1.26,-1.77,-2.54,-0.38
KEAP1 (M),-1.5,-0.0,-0.6,-2.04
