,MET (M),KRAS (M),BRAF (M),FAT1 (M)
MET (M),-2.74,-1.98,-1.23,-0.13
KRAS (M),-1.91,-0.55,-1.74,-0.59
BRAF (M),-1.25,-1.71,-2.57,-0.01
FAT1 (M),-0.28,-0.21,-0.05,-3.01
