,MET (M),KRAS (M),BRAF (M),ARID2 (M)
MET (M),-2.75,-1.91,-1.24,-0.0
KRAS (M),-1.99,-0.55,-1.79,-0.82
BRAF (M),-1.24,-1.66,-2.58,0.0
ARID2 (M),-0.0,-0.62,0.0,-3.29
