,MET (M),KRAS (M),BRAF (M),ARID1A (M)
MET (M),-2.73,-1.97,-1.23,-0.38
KRAS (M),-1.92,-0.55,-1.81,-0.57
BRAF (M),-1.25,-1.65,-2.58,-0.0
ARID1A (M),-0.55,-0.21,-0.0,-2.91
