,MET (M),KRAS (M),BRAF (M),PIK3CA (M)
MET (M),-2.75,-1.83,-1.23,-0.17
KRAS (M),-2.08,-0.53,-1.77,-0.88
BRAF (M),-1.24,-1.69,-2.55,-0.79
PIK3CA (M),-0.26,-0.37,-0.89,-2.74
