,MET (M),KRAS (M),BRAF (M),APC (M)
MET (M),-2.73,-1.91,-1.23,-0.55
KRAS (M),-2.0,-0.54,-1.76,-1.13
BRAF (M),-1.25,-1.7,-2.57,-0.33
APC (M),-0.64,-0.92,-0.37,-3.2
