,MET (M),KRAS (M),BRAF (M),EPHA7/6q (Del)
MET (M),-2.57,-1.83,-1.09,-1.2
KRAS (M),-2.08,-0.39,-1.41,-1.15
BRAF (M),-1.26,-1.95,-2.55,-0.0
EPHA7/6q (Del),-1.1,-0.29,-0.39,-0.94
