,T0,T1,T2,E_3
T0,-0.78,-0.13,0.01,-0.0
T1,-0.75,-1.82,0.0,-0.07
T2,0.16,0.75,-2.15,0.23
E_3,-0.16,-0.0,0.0,-1.85
