,T0,T1,T2,A_1
T0,-0.81,-0.03,0.21,-0.0
T1,-1.01,-1.78,0.0,-0.05
T2,0.0,0.8,-2.03,-0.63
A_1,-0.0,-0.5,-0.77,-2.14
