,PTPRS (M),KRAS (M),BRAF (M),KMT2C (M)
PTPRS (M),-2.36,-0.39,0.61,1.45
KRAS (M),-0.95,0.06,-2.82,-0.5
BRAF (M),0.0,-2.83,-1.15,-0.0
KMT2C (M),-0.0,-0.96,-0.4,-2.21
