,PTPRS (M),KRAS (M),BRAF (M),ASXL1/20q (Amp)
PTPRS (M),-1.11,-0.89,-0.0,-2.08
KRAS (M),-1.03,0.65,-2.75,-0.99
BRAF (M),-0.6,-3.9,-0.02,-2.23
ASXL1/20q (Amp),-3.54,-4.13,-3.93,1.73
