,PTPRS (M),KRAS (M),BRAF (M),SMAD4 (M)
PTPRS (M),-1.94,-1.28,0.44,-0.13
KRAS (M),-0.11,0.03,-2.58,-0.57
BRAF (M),0.0,-3.21,-1.14,-0.0
SMAD4 (M),-0.73,-0.17,-0.23,-1.86
