,PTPRS (M),KRAS (M),BRAF (M),APC (M)
PTPRS (M),-1.57,-1.29,0.21,-0.55
KRAS (M),-0.06,-0.16,-2.61,0.21
BRAF (M),0.0,-2.94,-0.23,-1.71
APC (M),-2.42,-3.33,-4.09,1.83
