,PTPRS (M),KRAS (M),BRAF (M),ID3/1p (Del)
PTPRS (M),-1.73,-0.89,0.36,-2.29
KRAS (M),-0.46,0.32,-2.87,-2.04
BRAF (M),0.0,-2.98,-0.83,-2.48
ID3/1p (Del),-0.57,-0.43,-0.96,-0.63
