,PTPRS (M),KRAS (M),BRAF (M),RNF43 (M)
PTPRS (M),-2.3,-0.55,-0.76,1.78
KRAS (M),-0.7,0.07,-3.58,-0.44
BRAF (M),0.76,-2.43,-1.25,-0.0
RNF43 (M),-0.29,-2.13,1.25,-1.7
