,PTPRS (M),KRAS (M),BRAF (M),FBXW7 (M)
PTPRS (M),-2.2,-0.44,0.63,-0.0
KRAS (M),-0.8,0.1,-2.55,-1.1
BRAF (M),-0.0,-3.06,-1.14,0.0
FBXW7 (M),0.37,-0.17,-0.13,-1.68
