,PTPRS (M),KRAS (M),BRAF (M),B2M (M)
PTPRS (M),-2.19,-0.72,-0.0,1.7
KRAS (M),-0.57,0.04,-2.63,-0.45
BRAF (M),0.46,-3.07,-1.18,-0.0
B2M (M),-0.0,-1.35,0.28,-2.28
