,PTPRS (M),KRAS (M),BRAF (M),FLT3/13q (Amp)
PTPRS (M),-1.33,-1.02,0.03,-1.9
KRAS (M),-0.43,0.28,-2.72,-0.53
BRAF (M),0.0,-3.26,-0.53,-1.66
FLT3/13q (Amp),-1.56,-2.53,-2.74,0.95
