,PTPRS (M),KRAS (M),BRAF (M),ATM (M)
PTPRS (M),-2.12,-0.65,0.57,0.0
KRAS (M),-0.58,0.06,-2.9,-0.85
BRAF (M),0.0,-2.76,-1.16,0.0
ATM (M),0.41,-0.41,0.0,-2.33
