,PTPRS (M),KRAS (M),BRAF (M),TP53/17p (Del)
PTPRS (M),-1.43,-1.28,0.06,-2.12
KRAS (M),-0.29,0.28,-2.79,-0.79
BRAF (M),0.0,-3.16,-0.68,-1.88
TP53/17p (Del),-1.62,-1.71,-1.91,0.32
