,PTPRS (M),KRAS (M),BRAF (M),B2M/15q (Del)
PTPRS (M),-1.82,-0.74,0.41,-1.6
KRAS (M),-0.55,0.24,-2.8,-0.97
BRAF (M),0.0,-3.14,-0.78,-2.69
B2M/15q (Del),-0.47,-1.58,-1.73,-0.31
