,PTPRS (M),KRAS (M),BRAF (M),SOX9 (M)
PTPRS (M),-2.08,-0.83,0.53,0.08
KRAS (M),-0.39,0.07,-2.43,-1.02
BRAF (M),0.0,-3.4,-1.13,-0.0
SOX9 (M),0.0,-0.23,-0.53,-1.8
