,PTPRS (M),KRAS (M),BRAF (M),SMAD4/18q (Del)
PTPRS (M),-1.27,-0.61,-0.01,-1.97
KRAS (M),-0.97,0.44,-3.01,-0.7
BRAF (M),-0.0,-2.93,-0.4,-1.68
SMAD4/18q (Del),-2.87,-2.51,-3.4,1.37
