,PTPRS (M),KRAS (M),BRAF (M),CREBBP (M)
PTPRS (M),-2.11,-0.7,0.56,-0.0
KRAS (M),-0.36,0.06,-2.78,-1.62
BRAF (M),-0.0,-2.85,-1.15,0.0
CREBBP (M),1.65,-0.6,-0.01,-2.6
