,PTPRS (M),KRAS (M),BRAF (M),AMER1 (M)
PTPRS (M),-2.22,-0.38,0.66,0.0
KRAS (M),-1.07,0.04,-2.78,-0.02
BRAF (M),-0.0,-2.87,-1.15,-0.02
AMER1 (M),0.38,-0.24,-0.43,-2.4
