,PTPRS (M),KRAS (M),BRAF (M),PIK3CA (M)
PTPRS (M),-2.18,-0.5,0.63,-0.0
KRAS (M),-0.71,0.12,-2.35,-0.81
BRAF (M),-0.0,-3.46,-1.13,0.0
PIK3CA (M),0.23,-0.0,-0.71,-1.0
