,PTPRS (M),KRAS (M),BRAF (M),NOTCH3 (M)
PTPRS (M),-2.21,-0.53,-0.01,1.53
KRAS (M),-0.95,0.04,-3.21,-0.04
BRAF (M),0.69,-2.6,-1.22,-0.21
NOTCH3 (M),-0.43,-1.69,0.0,-2.22
